"user","datetime","stage_duration","stage"
"ASFODQR","2024-02-18 06:10:30",30,"wake"
"ASFODQR","2024-02-18 06:28:00",180,"wake"
"ASFODQR","2024-02-18 06:34:00",60,"wake"
"ASFODQR","2024-02-18 06:35:00",420,"light"
"ASFODQR","2024-02-18 06:42:00",300,"rem"
"ASFODQR","2024-02-18 06:47:00",30,"wake"
"ASFODQR","2024-02-18 06:53:00",30,"wake"
"ASFODQR","2024-02-18 06:59:30",30,"wake"
"ASFODQR","2024-02-18 07:04:30",180,"wake"
"ASFODQR","2024-02-18 07:07:30",270,"rem"
"ASFODQR","2024-02-18 07:12:00",90,"wake"
"ASFODQR","2024-02-18 07:28:30",150,"wake"
"ASFODQR","2024-02-18 07:34:00",60,"wake"
"ASFODQR","2024-02-18 07:35:00",540,"light"
"ASFODQR","2024-02-18 07:44:00",900,"rem"
"ASFODQR","2024-02-18 07:59:00",30,"wake"
"ASFODQR","2024-02-18 07:59:30",180,"rem"
"ASFODQR","2024-02-18 08:02:30",300,"wake"
"ASFODQR","2024-02-18 08:07:30",120,"light"
"ASFODQR","2024-02-18 08:09:30",60,"wake"
"ASFODQR","2024-02-18 08:10:30",330,"light"
"ASFODQR","2024-02-18 08:16:00",210,"wake"
"ASFODQR","2024-02-18 18:26:00",60,"restless"
"ASFODQR","2024-02-18 18:27:00",420,"asleep"
"ASFODQR","2024-02-18 18:34:00",60,"restless"
"ASFODQR","2024-02-18 18:35:00",120,"asleep"
"ASFODQR","2024-02-18 18:37:00",60,"restless"
"ASFODQR","2024-02-18 18:38:00",1860,"asleep"
"ASFODQR","2024-02-18 19:09:00",60,"restless"
"ASFODQR","2024-02-18 19:10:00",2040,"asleep"
"ASFODQR","2024-02-19 01:12:30",750,"wake"
"ASFODQR","2024-02-19 01:25:00",210,"light"
"ASFODQR","2024-02-19 01:28:30",750,"wake"
"ASFODQR","2024-02-19 01:41:00",840,"light"
"ASFODQR","2024-02-19 01:55:00",1080,"deep"
"ASFODQR","2024-02-19 02:13:00",60,"light"
"ASFODQR","2024-02-19 02:14:00",60,"wake"
"ASFODQR","2024-02-19 02:15:00",90,"light"
"ASFODQR","2024-02-19 02:16:30",270,"wake"
"ASFODQR","2024-02-19 02:21:00",150,"light"
"ASFODQR","2024-02-19 02:23:30",390,"wake"
"ASFODQR","2024-02-19 02:30:00",60,"light"
"ASFODQR","2024-02-19 02:31:00",300,"rem"
"ASFODQR","2024-02-19 02:36:00",150,"wake"
"ASFODQR","2024-02-19 02:40:00",60,"wake"
"ASFODQR","2024-02-19 02:43:30",60,"wake"
"ASFODQR","2024-02-19 02:48:30",30,"wake"
"ASFODQR","2024-02-19 02:49:00",1230,"light"
"ASFODQR","2024-02-19 03:09:30",1050,"rem"
"ASFODQR","2024-02-19 03:27:00",150,"light"
"ASFODQR","2024-02-19 03:29:30",1650,"deep"
"ASFODQR","2024-02-19 03:57:00",60,"wake"
"ASFODQR","2024-02-19 04:01:30",30,"wake"
"ASFODQR","2024-02-19 04:02:00",2070,"light"
"ASFODQR","2024-02-19 04:36:30",660,"rem"
"ASFODQR","2024-02-19 04:47:30",30,"wake"
"ASFODQR","2024-02-19 04:48:00",300,"rem"
"ASFODQR","2024-02-19 04:53:00",120,"light"
"ASFODQR","2024-02-19 04:55:00",90,"wake"
"ASFODQR","2024-02-19 04:56:30",180,"light"
"ASFODQR","2024-02-19 04:59:30",660,"rem"
"ASFODQR","2024-02-19 05:10:30",90,"wake"
"ASFODQR","2024-02-19 05:26:00",30,"wake"
"ASFODQR","2024-02-19 05:38:00",30,"wake"
"ASFODQR","2024-02-19 05:43:30",30,"wake"
"ASFODQR","2024-02-19 05:53:30",150,"wake"
"ASFODQR","2024-02-19 06:00:00",30,"wake"
"ASFODQR","2024-02-19 06:00:30",120,"light"
"ASFODQR","2024-02-19 06:02:30",300,"rem"
"ASFODQR","2024-02-19 06:07:30",690,"light"
"ASFODQR","2024-02-19 06:19:00",30,"wake"
"ASFODQR","2024-02-19 06:19:30",690,"light"
"ASFODQR","2024-02-19 06:31:00",60,"rem"
"ASFODQR","2024-02-19 06:32:00",30,"wake"
"ASFODQR","2024-02-19 06:42:30",30,"wake"
"ASFODQR","2024-02-19 06:55:00",30,"wake"
"ASFODQR","2024-02-19 07:00:00",30,"wake"
"ASFODQR","2024-02-19 07:12:30",30,"wake"
"ASFODQR","2024-02-19 07:13:00",450,"rem"
"ASFODQR","2024-02-19 07:20:30",90,"light"
"ASFODQR","2024-02-19 07:22:00",30,"wake"
"ASFODQR","2024-02-19 07:22:30",690,"light"
"ASFODQR","2024-02-19 07:34:00",390,"deep"
"ASFODQR","2024-02-19 07:40:30",420,"light"
"ASFODQR","2024-02-19 07:47:30",360,"deep"
"ASFODQR","2024-02-19 07:53:30",330,"light"
"ASFODQR","2024-02-19 07:59:00",30,"wake"
"ASFODQR","2024-02-19 08:01:30",120,"wake"
"ASFODQR","2024-02-19 08:03:30",210,"light"
"ASFODQR","2024-02-19 08:07:00",330,"wake"
"ASFODQR","2024-02-19 08:12:30",180,"light"
"ASFODQR","2024-02-19 08:15:30",30,"wake"
"ASFODQR","2024-02-19 08:16:00",30,"light"
"ASFODQR","2024-02-19 08:16:30",630,"rem"
"ASFODQR","2024-02-19 08:27:00",30,"wake"
"ASFODQR","2024-02-19 08:29:30",30,"wake"
"ASFODQR","2024-02-19 08:36:30",30,"wake"
"ASFODQR","2024-02-19 08:38:30",30,"wake"
"ASFODQR","2024-02-19 08:39:00",540,"rem"
"ASFODQR","2024-02-19 08:48:00",990,"light"
"ASFODQR","2024-02-19 09:04:30",30,"wake"
"ASFODQR","2024-02-19 09:18:00",90,"wake"
"ASFODQR","2024-02-19 09:30:00",60,"wake"
"ASFODQR","2024-02-20 02:29:00",30,"light"
"ASFODQR","2024-02-20 02:29:30",810,"wake"
"ASFODQR","2024-02-20 02:43:00",270,"light"
"ASFODQR","2024-02-20 02:47:30",300,"wake"
"ASFODQR","2024-02-20 02:52:30",2520,"deep"
"ASFODQR","2024-02-20 03:34:30",720,"light"
"ASFODQR","2024-02-20 03:46:30",90,"wake"
"ASFODQR","2024-02-20 03:48:00",960,"light"
"ASFODQR","2024-02-20 04:04:00",270,"wake"
"ASFODQR","2024-02-20 04:08:30",510,"light"
"ASFODQR","2024-02-20 04:17:00",90,"wake"
"ASFODQR","2024-02-20 04:18:30",1500,"light"
"ASFODQR","2024-02-20 04:43:30",870,"deep"
"ASFODQR","2024-02-20 04:58:00",60,"light"
"ASFODQR","2024-02-20 04:59:00",60,"wake"
"ASFODQR","2024-02-20 05:00:00",270,"light"
"ASFODQR","2024-02-20 05:04:30",1440,"rem"
"ASFODQR","2024-02-20 05:28:30",120,"wake"
"ASFODQR","2024-02-20 05:30:30",300,"light"
"ASFODQR","2024-02-20 05:35:30",360,"rem"
"ASFODQR","2024-02-20 05:41:30",2940,"light"
"ASFODQR","2024-02-20 06:30:30",30,"wake"
"ASFODQR","2024-02-20 06:31:00",510,"light"
"ASFODQR","2024-02-20 06:39:30",390,"rem"
"ASFODQR","2024-02-20 06:46:00",360,"light"
"ASFODQR","2024-02-20 06:52:00",30,"wake"
"ASFODQR","2024-02-20 07:08:30",30,"wake"
"ASFODQR","2024-02-20 07:09:00",1380,"light"
"ASFODQR","2024-02-21 00:17:30",120,"light"
"ASFODQR","2024-02-21 00:19:30",330,"wake"
"ASFODQR","2024-02-21 00:25:00",120,"light"
"ASFODQR","2024-02-21 00:27:00",30,"wake"
"ASFODQR","2024-02-21 00:32:30",30,"wake"
"ASFODQR","2024-02-21 00:44:00",60,"wake"
"ASFODQR","2024-02-21 00:45:00",240,"light"
"ASFODQR","2024-02-21 00:49:00",1350,"deep"
"ASFODQR","2024-02-21 01:11:30",60,"light"
"ASFODQR","2024-02-21 01:12:30",900,"rem"
"ASFODQR","2024-02-21 01:27:30",30,"wake"
"ASFODQR","2024-02-21 01:37:00",30,"wake"
"ASFODQR","2024-02-21 01:37:30",450,"rem"
"ASFODQR","2024-02-21 01:45:00",1050,"light"
"ASFODQR","2024-02-21 02:02:30",300,"deep"
"ASFODQR","2024-02-21 02:07:30",120,"light"
"ASFODQR","2024-02-21 02:09:30",30,"wake"
"ASFODQR","2024-02-21 02:19:30",30,"wake"
"ASFODQR","2024-02-21 02:23:00",30,"wake"
"ASFODQR","2024-02-21 02:36:00",30,"wake"
"ASFODQR","2024-02-21 02:36:30",480,"light"
"ASFODQR","2024-02-21 02:44:30",720,"rem"
"ASFODQR","2024-02-21 02:56:30",90,"light"
"ASFODQR","2024-02-21 02:58:00",90,"wake"
"ASFODQR","2024-02-21 03:02:30",30,"wake"
"ASFODQR","2024-02-21 03:03:00",1170,"light"
"ASFODQR","2024-02-21 03:22:30",1380,"deep"
"ASFODQR","2024-02-21 03:45:30",690,"wake"
"ASFODQR","2024-02-21 03:57:00",360,"rem"
"ASFODQR","2024-02-21 04:03:00",30,"wake"
"ASFODQR","2024-02-21 04:22:00",30,"wake"
"ASFODQR","2024-02-21 04:25:30",150,"wake"
"ASFODQR","2024-02-21 04:32:00",60,"wake"
"ASFODQR","2024-02-21 04:33:00",420,"rem"
"ASFODQR","2024-02-21 04:40:00",300,"wake"
"ASFODQR","2024-02-21 04:45:00",240,"light"
"ASFODQR","2024-02-21 04:49:00",360,"wake"
"ASFODQR","2024-02-22 00:32:00",60,"wake"
"ASFODQR","2024-02-22 00:42:00",30,"wake"
"ASFODQR","2024-02-22 00:42:30",540,"light"
"ASFODQR","2024-02-22 00:51:30",2490,"deep"
"ASFODQR","2024-02-22 01:33:00",390,"wake"
"ASFODQR","2024-02-22 01:39:30",90,"light"
"ASFODQR","2024-02-22 01:41:00",390,"rem"
"ASFODQR","2024-02-22 01:47:30",360,"light"
"ASFODQR","2024-02-22 01:53:30",30,"wake"
"ASFODQR","2024-02-22 02:40:30",30,"wake"
"ASFODQR","2024-02-22 02:41:00",120,"light"
"ASFODQR","2024-02-22 02:43:00",1200,"wake"
"ASFODQR","2024-02-22 03:03:00",420,"light"
"ASFODQR","2024-02-22 03:10:00",270,"rem"
"ASFODQR","2024-02-22 03:14:30",780,"light"
"ASFODQR","2024-02-22 03:27:30",30,"wake"
"ASFODQR","2024-02-22 03:31:30",150,"wake"
"ASFODQR","2024-02-22 03:41:00",30,"wake"
"ASFODQR","2024-02-22 03:51:00",90,"wake"
"ASFODQR","2024-02-22 03:58:30",30,"wake"
"ASFODQR","2024-02-22 04:29:30",90,"wake"
"ASFODQR","2024-02-22 04:31:00",930,"rem"
"ASFODQR","2024-02-22 04:46:30",90,"light"
"ASFODQR","2024-02-22 04:48:00",480,"wake"
"ASFODQR","2024-02-22 04:56:00",60,"light"
"ASFODQR","2024-02-22 04:57:00",210,"rem"
"ASFODQR","2024-02-22 05:00:30",30,"wake"
"ASFODQR","2024-02-22 05:13:30",30,"wake"
"ASFODQR","2024-02-22 05:14:00",690,"rem"
"ASFODQR","2024-02-22 05:25:30",30,"light"
"ASFODQR","2024-02-22 05:26:00",90,"wake"
